0,3,100
0,7,200
0,11,300
0,15,400
0,19,500
1,3,600
1,7,700
1,11,800
1,15,900
1,19,1000
1,23,1100
1,27,1200
1,31,1300
1,35,1400
1,39,1500
1,43,1600
1,47,1700
1,51,1800
1,55,1900
1,59,2000
2,3,2100
2,7,2200
2,11,2300
2,15,2400
2,19,2500
2,23,2600
2,27,2700
2,31,2800
2,35,2900
2,39,3000
2,43,3100
2,47,3200
2,51,3300
2,55,3400
2,59,3500
2,63,3600
2,67,3700
2,71,3800
2,75,3900
2,79,4000
2,83,4100
2,87,4200
2,91,4300
2,95,4400
2,99,4500
2,103,4600
2,107,4700
2,111,4800
2,115,4900
2,119,5000
3,3,5100
3,7,5200
3,11,5300
3,15,5400
3,19,5500
3,23,5600
3,27,5700
3,31,5800
3,35,5900
3,39,6000
3,43,6100
3,47,6200
3,51,6300
3,55,6400
3,59,6500
3,63,6600
3,67,6700
3,71,6800
3,75,6900
3,79,7000
3,83,7100
3,87,7200
3,91,7300
3,95,7400
3,99,7500
3,103,7600
3,107,7700
3,111,7800
3,115,7900
3,119,8000
3,123,8100
3,127,8200
3,131,8300
3,135,8400
3,139,8500
3,143,8600
3,147,8700
3,151,8800
3,155,8900
3,159,9000
3,163,9100
3,167,9200
3,171,9300
3,175,9400
3,179,9500
3,183,9600
3,187,9700
3,191,9800
3,195,9900
3,199,10000
